Presenter,Title,Conference,Year from,Year to,invited?,international?
Hajime Kawahara,A Linear and Quadratic Time-Frequency Analysis of Gravitational Waves from Core-Collapse Supernovae,"GW-genesis workshop on ""Deciphering multi-dimensional nature of core-collapse SuperNovae 
via gravitational-wave and neutrino signatures"" (SNeGWv2018)",2018,,no,yes
Hajime Kawahara,Searching for Self-Gravitational Lensing by A Black Hole in TESS Full-Frame Images, Joint symposium of MEXT innovative area x KONAN GAKUEN 100th Anniversary International Scientific Symposium Series Sponsored by The Hirao Taro Foundation of KONAN GAKUEN for Academic Research, 2019,,no,yes
